"National.Database.Number","Genus","Common.Name","Affiliation","City...from.strandings.table","County","State","Locality.Detail","Latitude","Latitude.Units","Longitude","Longitude.Units","Year.of.Observation","Observation.Date","Mammal.Type"
"NW-2009-1105653",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Portland","Multnomah","OR","Collins Beach, Sauvie Island","45.789796","dd.dddd","Ð122.787399","dd.dddd",2009,"2009-MAY-31","Pinniped"
"NW-2009-1105655","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","Just north of Johnson Creek","43.09101","decimal degrees","Ð124.43468","decimal degrees",2009,"2009-AUG-25","Pinniped"
"NW-2009-1105659","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Newport","Lincoln","OR","next to north jetty","44.617093","dd.dddd","Ð124.068547","dd.dddd",2009,"2009-AUG-26","Pinniped"
"NW-2009-1105663","Phoca","Seal, harbor","Marine Mammal Institute, OSU","WinchesterBay","Douglas","OR","just south of oyster farm on beach","43.662304","dd.dddd","Ð124.210013","dd.dddd",2009,"2009-AUG-26","Pinniped"
"NW-2009-1105665","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Newport","Lincoln","OR","south of hotels, north of Yaquina Bay State Park","44.628262","dd.dddd","Ð124.066738","dd.dddd",2009,"2009-AUG-26","Pinniped"
"NW-2009-1105667","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","about a quarter of a mile north of N. 15th Street","44.97921","dd.dddd","Ð124.015833","dd.dddd",2009,"2009-AUG-26","Pinniped"
"NW-2009-1105957",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Lakeside","Coos","OR","near Saunders Lake road, Ten Mile Creek area","43.564947","dd.dddd","Ð124.231217","dd.dddd",2009,"2009-OCT-03","Pinniped"
"NW-2009-1105959","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Bandon","Coos","OR","Just south of Johnson Creek","43.088313","dd.dddd","Ð124.43542","dd.dddd",2009,"2009-OCT-03","Pinniped"
"NW-2009-1105961","Phoca","Seal, harbor","Marine Mammal Institute, OSU","Otis","Lincoln","OR","Camp Westwind","45.044583","dd.dddd","Ð124.007067","dd.dddd",2009,"2009-OCT-03","Pinniped"
"NW-2009-1105963","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Newport","Lincoln","OR","near NW 60 th St","44.681754","dd.dddd","Ð124.068846","dd.dddd",2009,"2009-OCT-05","Pinniped"
"NW-2009-1105965","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Astoria","Clatsop","OR","near East Mooring Basin, 39th St dock area","46.197547","dd.dddd","Ð123.796737","dd.dddd",2009,"2009-OCT-05","Pinniped"
"NW-2009-1105967","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Florence","Lane","OR","N of Driftwood shores hotel","44.043867","dd.dddd","Ð124.132867","dd.dddd",2009,"2009-OCT-05","Pinniped"
"NW-2009-1106201","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","300 yards north of Sand Castle motel","44.944164","dd.dddd","Ð124.023995","dd.dddd",2009,"2009-OCT-28","Pinniped"
"NW-2009-1106203","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Port Orford","Curry","OR","beach at Battle Rock State Park","42.733","dd.dddd","Ð124.473","dd.dddd",2009,"2009-OCT-28","Pinniped"
"NW-2009-1106205","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Bandon","Coos","OR","Just west of the Devil's Kitchen State Park access","43.08289","dd.dddd","Ð124.43584","dd.dddd",2009,"2009-OCT-28","Pinniped"
"NW-2009-1106207","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","Port of Siuslaw, below D-dock","43.967","dd.dddd","Ð124.101","dd.dddd",2009,"2009-OCT-29","Pinniped"
"NW-2009-1106209","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Cape Blanco","Curry","OR","Cape Blanco State Park, southern end","42.816867","dd.dddd","Ð124.538667","dd.dddd",2009,"2009-OCT-29","Pinniped"
"NW-2009-1106211","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Cape Blanco","Curry","OR","Cape Blanco State Park near lighthouse","42.834167","dd.dddd","Ð124.560483","dd.dddd",2009,"2009-OCT-29","Pinniped"
"NW-2009-1106213","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Cape Blanco","Curry","OR","Cape Blanco State Park","42.8344","dd.dddd","Ð124.560317","dd.dddd",2009,"2009-OCT-29","Pinniped"
"NW-2009-1106215","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lakeside","Coos","OR","S of Ten mile river","43.563433","dd.dddd","Ð124.231733","dd.dddd",2009,"2009-OCT-30","Pinniped"
"NW-2009-1106219","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lakeside","Coos","OR","S of Ten mile river","43.559583","dd.dddd","Ð124.233483","dd.dddd",2009,"2009-OCT-30","Pinniped"
"NW-2009-1105669","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","near Two Mile Creek And New River confluence","43.039","dd.dddd","Ð124.444","dd.dddd",2009,"2009-AUG-27","Pinniped"
"NW-2009-1105673","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","Whiskey Run Beach","43.208637","dd.dddd","Ð124.396137","dd.dddd",2009,"2009-AUG-27","Pinniped"
"NW-2009-1105675","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Seal Rock","Lincoln","OR","Seal Rock State Park","44.496003","dd.dddd","Ð124.084659","dd.dddd",2009,"2009-SEP-20","Pinniped"
"NW-2009-1105677","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Otis","Lincoln","OR","Camp Westwind","45.0458","dd.dddd","Ð124.002783","dd.dddd",2009,"2009-SEP-20","Pinniped"
"NW-2009-1105679","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","Just south of Mars Street access","43.0869","dd.dddd","Ð124.43501","dd.dddd",2009,"2009-SEP-20","Pinniped"
"NW-2009-1105683",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Taft","Lincoln","OR","between Mo's and 46th St, near cliff","44.92927","dd.dddd","Ð124.025143","dd.dddd",2009,"2009-SEP-20","Pinniped"
"NW-2009-1105685","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","about 100 yards south of base of Hobbit trail","44.14435","dd.dddd","Ð124.121675","dd.dddd",2009,"2009-SEP-20","Pinniped"
"NW-2009-1105687","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Coos Bay","Coos","OR","Knutson tow boat dock","43.369","dd.dddd","Ð124.211","dd.dddd",2009,"2009-SEP-21","Pinniped"
"NW-2009-1105969","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","N of Driftwood shores hotel","44.04386","dd.dddd","Ð124.132811","dd.dddd",2009,"2009-OCT-05","Pinniped"
"NW-2009-1105973","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","N 43.05877 W124.44003 About 1 1/2 miles south of China Creek Access","43.05877","dd.dddd","Ð124.44003","dd.dddd",2009,"2009-SEP-17","Pinniped"
"NW-2009-1105975","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","just south of Johnson Creek","43.0896","dd.dddd","Ð124.43469","dd.dddd",2009,"2009-SEP-17","Pinniped"
"NW-2009-1105977","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Neskowin","Tillamook","OR","South Beach, at the base of the riprap in line with southern tip of proposal rock","45.099496","dd.dddd","Ð123.984798","dd.dddd",2009,"2009-SEP-19","Pinniped"
"NW-2009-1105979","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Florence","Lane","OR","Just south of Chapman sand road (S Siuslaw Jetty area)","43.919133","dd.dddd","Ð124.150067","dd.dddd",2009,"2009-SEP-19","Pinniped"
"NW-2009-1105981","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Rockaway Beach","Tillamook","OR","40 feet from rocks at north jetty","45.57033","dd.dddd","Ð123.957979","dd.dddd",2009,"2009-SEP-19","Pinniped"
"NW-2009-1105983","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Oceanside","Tillamook","OR","Short Beach, off Radar Road, far south end of beach","45.472201","dd.dddd","Ð123.971299","dd.dddd",2009,"2009-SEP-20","Pinniped"
"NW-2009-1105985","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","3233 SW Anchor Ave","44.94346","dd.dddd","Ð124.024096","dd.dddd",2009,"2009-SEP-20","Pinniped"
"NW-2009-1105987","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","3135 NW Inlet st","44.986","dd.dddd","Ð124.014","dd.dddd",2009,"2009-OCT-09","Pinniped"
"NW-2009-1106221","Phoca","Seal, harbor","Marine Mammal Institute, OSU","Newport","Lincoln","OR","in front of Elizabeth St. Inn","44.633841","dd.dddd","Ð124.064974","dd.dddd",2009,"2009-OCT-30","Pinniped"
"NW-2009-1106223",NA,"UNIDENTIFIED OTARIID","Marine Mammal Institute, OSU","Bandon","Coos","OR","Whisky Run Beach","43.217783","dd.dddd","Ð124.396083","dd.dddd",2009,"2009-OCT-30","Pinniped"
"NW-2009-1106225","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","South Beach","Lincoln","OR","near SE 145th St","44.533018","dd.dddd","Ð124.075356","dd.dddd",2009,"2009-OCT-31","Pinniped"
"NW-2009-1106227",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Otis","Lincoln","OR","Camp Westwind","45.035483","dd.dddd","Ð124.006700","dd.dddd",2009,"2009-OCT-31","Pinniped"
"NW-2009-1106231","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Rockaway Beach","Tillamook","OR","200 yards south of Washington St access","45.598866","dd.dddd","Ð123.95092","dd.dddd",2009,"2009-NOV-01","Pinniped"
"NW-2009-1106233","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Cape Lookout","Tillamook","OR","Cape Lookout State Park, south side","45.333","dd.dddd","Ð123.971","dd.dddd",2009,"2009-NOV-01","Pinniped"
"NW-2009-1106235","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Seal Rock","Lincoln","OR","south of Ona Beach State Park","44.514074","dd.dddd","Ð124.079846","dd.dddd",2009,"2009-NOV-01","Pinniped"
"NW-2009-1106237","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","Baker Beach","44.0795","dd.dddd","Ð124.126800","dd.dddd",2009,"2009-NOV-04","Pinniped"
"NW-2009-1106239","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Gleneden Beach","Lincoln","OR","near Laurel St access","44.883016","dd.dddd","Ð124.03717","dd.dddd",2009,"2009-NOV-04","Pinniped"
"NW-2009-1105403",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Newport","Lincoln","OR","Yaquina Bay State Park","44.621914","dd.dddd","Ð124.067463","dd.dddd",2009,"2009-AUG-27","Pinniped"
"NW-2009-1105405","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","about 1/4 mile south of the South Coquille Jetty","43.11843","dd.dddd","Ð124.43170","dd.dddd",2009,"2009-AUG-27","Pinniped"
"NW-2009-1105409","Phoca","Seal, harbor","Marine Mammal Institute, OSU","WinchesterBay","Douglas","OR","~200 feet south of the S Umpqua jetty","43.660033","dd.dddd","Ð124.209717","dd.dddd",2009,"2009-AUG-28","Pinniped"
"NW-2009-1105411","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","Just south of the south Siuslaw jetty","44.006667","dd.dddd","Ð124.137233","dd.dddd",2009,"2009-AUG-28","Pinniped"
"NW-2009-1105413","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","~ 1 mile north of the north Siuslaw jetty","44.024483","dd.dddd","Ð124.138100","dd.dddd",2009,"2009-AUG-29","Pinniped"
"NW-2009-1105689","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Newport","Lincoln","OR","across from Port Dock 4 condos","44.631182","dd.dddd","Ð124.049303","dd.dddd",2009,"2009-SEP-21","Pinniped"
"NW-2009-1105691","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Wheeler","Tillamook","OR","on dock at","45.687822","dd.dddd","Ð123.892835","dd.dddd",2009,"2009-SEP-21","Pinniped"
"NW-2009-1105695","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Depoe Bay","Lincoln","OR","Village at North Point Condos","44.825588","dd.dddd","Ð124.067220","dd.dddd",2009,"2009-SEP-21","Pinniped"
"NW-2009-1105697","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lincoln Beach","Lincoln","OR","near Sea and Sand RV Park","44.858389","dd.dddd","Ð124.044958","dd.dddd",2009,"2009-SEP-22","Pinniped"
"NW-2009-1105699","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Newport","Lincoln","OR","Yaquina Bay State Park","44.62026","dd.dddd","Ð124.067812","dd.dddd",2009,"2009-SEP-22","Pinniped"
"NW-2009-1105703","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove Cape Arago","43.30863","dd.dddd","Ð124.40066","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105705","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.30854","dd.dddd","Ð124.39742","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105989","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","near Lower Fourmile Creek","43.01787","dd.dddd","Ð124.452230","dd.dddd",2009,"2009-OCT-09","Pinniped"
"NW-2009-1105991","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Otis","Lincoln","OR","Camp Westwind","45.044867","dd.dddd","Ð124.007183","dd.dddd",2009,"2009-OCT-09","Pinniped"
"NW-2009-1106241","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","Heceta Head Lighthouse beach, north end","44.135","dd.dddd","Ð124.124583","dd.dddd",2009,"2009-OCT-18","Pinniped"
"NW-2009-1106243","Phoca","Seal, harbor","Marine Mammal Institute, OSU","Waldport","Lincoln","OR","just south of the ramp to gov. Patterson St. Park","44.413","dd.dddd","Ð124.085","dd.dddd",2009,"2009-OCT-19","Pinniped"
"NW-2009-1106245","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Neskowin","Tillamook","OR","Winema Beach","45.144596","dd.dddd","Ð123.975953","dd.dddd",2009,"2009-OCT-19","Pinniped"
"NW-2009-1106247",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Rockaway Beach","Tillamook","OR","100 yards north of north jetty, Barview","45.571174","dd.dddd","Ð123.957695","dd.dddd",2009,"2009-OCT-19","Pinniped"
"NW-2009-1106249","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Lakeside","Coos","OR","North of Tenmile Creek","43.594","dd.dddd","Ð124.222467","dd.dddd",2009,"2009-OCT-19","Pinniped"
"NW-2009-1106251","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","South Beach","Lincoln","OR","south of Thiel Creek","44.562195","dd.dddd","Ð124.070969","dd.dddd",2009,"2009-OCT-19","Pinniped"
"NW-2009-1106255",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Brookings","Curry","OR","south end of Harris Beach","42.062853","dd.dddd","Ð124.304489","dd.dddd",2009,"2009-OCT-21","Pinniped"
"NW-2009-1106257","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","500 yards south of access to Inn at Spanish Head","44.931595","dd.dddd","Ð124.025207","dd.dddd",2009,"2009-OCT-21","Pinniped"
"NW-2009-1106259","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Cape Blanco","Curry","OR","north of Floras Lake","42.916861","dd.dddd","Ð124.500167","dd.dddd",2009,"2009-OCT-22","Pinniped"
"NW-2009-1106261","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Cape Blanco","Curry","OR","approx. 200 yards south on the beach from the vehicle access road at Cape Blanco State Park","42.82155","dd.dddd","Ð124.542417","dd.dddd",2009,"2009-OCT-22","Pinniped"
"NW-2009-1105415","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","North of Goose Pasture sand road, south Siuslaw jetty beach","43.951667","dd.dddd","Ð124.144600","dd.dddd",2009,"2009-AUG-29","Pinniped"
"NW-2009-1105417","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","South Beach","Lincoln","OR","in front of South Beach condo development","44.595467","dd.dddd","Ð124.068028","dd.dddd",2009,"2009-AUG-29","Pinniped"
"NW-2009-1105419","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Gleneden Beach","Lincoln","OR","near Lancer St, Coronado Shores; later near Laurel St.","44.86324","dd.dddd","Ð124.043221","dd.dddd",2009,"2009-AUG-29","Pinniped"
"NW-2009-1105421",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Florence","Lane","OR","Mid-way between Siuslaw River North Jetty and Driftwood shores complex, well up in the dry sand zone","44.027546","dd.dddd","Ð124.136209","dd.dddd",2009,"2009-AUG-30","Pinniped"
"NW-2009-1105423","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","WinchesterBay","Douglas","OR","just north of the #3 south Umpqua parking lot","43.634","dd.dddd","Ð124.212","dd.dddd",2009,"2009-AUG-30","Pinniped"
"NW-2009-1105425","Arctocephalus","Seal, Guadalupe fur","Marine Mammal Institute, OSU","Pacific City","Tillamook","OR","on beach","45.20755","decimal degrees","Ð123.969400","decimal degrees",2009,"2009-JUN-24","Pinniped"
"NW-2009-1105707",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Lincoln City","Lincoln","OR","Roads End area, about 1/2 mile north of the beach access near North 72nd Street very close to the bank","45.017147","dd.dddd","Ð124.008635","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105709","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.31018","dd.dddd","Ð124.39692","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105711","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","north cove, Cape Arago","43.30776","dd.dddd","Ð124.40039","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105713","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.30844","dd.dddd","Ð124.39749","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105715","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.31054","dd.dddd","Ð124.39684","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105717","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.3075","dd.dddd","Ð124.39968","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105719","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.30789","dd.dddd","Ð124.39842","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105721","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N. Cove, Cape Arago","43.30814","dd.dddd","Ð124.40050","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105723","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","north cove, Cape Arago","43.30776","dd.dddd","Ð124.40039","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105725","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.30828","dd.dddd","Ð124.40057","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105727","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N Cove, Cape Arago","43.30806","dd.dddd","Ð124.39798","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105993","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","North end of Baker beach","44.104833","dd.dddd","Ð124.123217","dd.dddd",2009,"2009-OCT-09","Pinniped"
"NW-2009-1105995","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","Just north of Siltcoos","43.8801","dd.dddd","Ð124.155900","dd.dddd",2009,"2009-OCT-09","Pinniped"
"NW-2009-1105997","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Gold Beach","Curry","OR","Just south of the Ophir Rest Area access","42.53309","dd.dddd","Ð124.40258","dd.dddd",2009,"2009-OCT-10","Pinniped"
"NW-2009-1105999","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Newport","Lincoln","OR","along Yaquina Bay Road","44.583001","dd.dddd","Ð124.002335","dd.dddd",2009,"2009-OCT-10","Pinniped"
"NW-2009-1106265","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Port Orford","Curry","OR","Port Beach","42.741633","dd.dddd","Ð124.496117","dd.dddd",2009,"2009-OCT-22","Pinniped"
"NW-2009-1106267","Phoca","Seal, harbor","Marine Mammal Institute, OSU","Bandon","Coos","OR","about 3/4 mile south of China Creek access","43.0671","dd.dddd","Ð124.43768","dd.dddd",2009,"2009-OCT-22","Pinniped"
"NW-2009-1106269","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Waldport","Lincoln","OR","south part of Governor Patterson State Park","44.410826","dd.dddd","Ð124.085732","dd.dddd",2009,"2009-OCT-23","Pinniped"
"NW-2009-1106271",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Oceanside","Tillamook","OR","Short Beach","45.475016","dd.dddd","Ð123.969761","dd.dddd",2009,"2009-OCT-24","Pinniped"
"NW-2009-1106275","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","Sunset Bay State Park","43.333","dd.dddd","Ð124.373","dd.dddd",2009,"2009-OCT-24","Pinniped"
"NW-2009-1106277","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Newport","Lincoln","OR","between Trident fish meal plant and Embarcadero","44.627","dd.dddd","Ð124.036","dd.dddd",2009,"2009-OCT-26","Pinniped"
"NW-2009-1106279","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","South Beach","Lincoln","OR","near SE 86th st","44.575938","dd.dddd","Ð124.069784","dd.dddd",2009,"2009-OCT-27","Pinniped"
"NW-2009-1106281","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Nehalem","Tillamook","OR","behind Jetty Fisheries","45.660293","dd.dddd","Ð123.930615","dd.dddd",2009,"2009-OCT-27","Pinniped"
"NW-2009-1105429",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Gold Beach","Curry","OR","between South Jetty and Hunter Creek","42.405533","dd.dddd","Ð124.425967","dd.dddd",2009,"2009-JUN-26","Pinniped"
"NW-2009-1105439","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Hauser","Coos","OR","1 mile south of Ten Mile Creek","43.555556","dd.dddd","Ð124.234967","dd.dddd",2009,"2009-JUN-21","Pinniped"
"NW-2009-1105443",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Harbor","Curry","OR","vista View off Ocean View","42.028449","dd.dddd","Ð124.251949","dd.dddd",2009,"2009-JUL-01","Pinniped"
"NW-2009-1105445","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","WinchesterBay","Douglas","OR","1/2 mile south of the #3 S Umpqua OHV parking lot; found dead at 43.706150, -124.194650 on 7/13","43.6251","dd.dddd","Ð124.214650","dd.dddd",2009,"2009-JUL-04","Pinniped"
"NW-2009-1105729","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Charleston","Coos","OR","N. Cove, Cape Arago","43.30808","dd.dddd","Ð124.40041","dd.dddd",2009,"2009-SEP-23","Pinniped"
"NW-2009-1105731","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","North Bend","Coos","OR","Horsfall Beach","43.377233","dd.dddd","Ð124.322867","dd.dddd",2009,"2009-SEP-24","Pinniped"
"NW-2009-1105733","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Brookings","Curry","OR","south end of Whale's Head Beach","42.13151","dd.dddd","Ð124.351921","dd.dddd",2009,"2009-SEP-24","Pinniped"
"NW-2009-1105735",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Gleneden Beach","Lincoln","OR","in front of 10 Sea Dunes","44.893786","dd.dddd","Ð124.0341","dd.dddd",2009,"2009-SEP-24","Pinniped"
"NW-2009-1105737","Eumetopias","Sea lion, Steller","Marine Mammal Institute, OSU","Cape Blanco","Curry","OR","just (about 1/4 mi.) south of Floras Lake","42.889019","dd.dddd","Ð124.518886","dd.dddd",2009,"2009-SEP-24","Pinniped"
"NW-2009-1105739","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","N Sutton (Baker beach)","44.078233","dd.dddd","Ð124.126950","dd.dddd",2009,"2009-SEP-25","Pinniped"
"NW-2009-1105741","Phoca","Seal, harbor","Marine Mammal Institute, OSU","Newport","Lincoln","OR","100 yards south of bridge at Beverly Beach","44.728","dd.dddd","Ð124.058","dd.dddd",2009,"2009-SEP-25","Pinniped"
"NW-2009-1105743","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Bandon","Coos","OR","end of town dock, Port of Bandon","43.120631","dd.dddd","Ð124.414223","dd.dddd",2009,"2009-SEP-25","Pinniped"
"NW-2009-1105745","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Cape Meares","Tillamook","OR","Bayocean Spit","45.523","dd.dddd","Ð123.953","dd.dddd",2009,"2009-SEP-26","Pinniped"
"NW-2009-1105747","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Gleneden Beach","Lincoln","OR","near Fern St.","44.880396","dd.dddd","Ð124.038014","dd.dddd",2009,"2009-SEP-26","Pinniped"
"NW-2009-1106001","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Gold Beach","Curry","OR","About 1/4 mile north of Nesika Beach access","42.51617","dd.dddd","Ð124.40948","dd.dddd",2009,"2009-OCT-10","Pinniped"
"NW-2009-1106003",NA,"Pinniped, unidentified","Marine Mammal Institute, OSU","Netarts","Tillamook","OR","north of Edgewater motel","45.438353","dd.dddd","Ð123.951075","dd.dddd",2009,"2009-OCT-11","Pinniped"
"NW-2009-1106005","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Waldport","Lincoln","OR","south side of the ""Jaws"" in Alsea Bay","44.42","dd.dddd","Ð124.080","dd.dddd",2009,"2009-OCT-12","Pinniped"
"NW-2009-1106009","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Neskowin","Tillamook","OR","in front of the Breakers Beach Houses","45.108","dd.dddd","Ð123.984871","dd.dddd",2009,"2009-OCT-13","Pinniped"
"NW-2009-1106011","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Florence","Lane","OR","South of the Siuslaw Jetty","44.009","dd.dddd","Ð124.137183","dd.dddd",2009,"2009-OCT-13","Pinniped"
"NW-2009-1106013","Zalophus","Sea lion, California","Marine Mammal Institute, OSU","Newport","Lincoln","OR","Cobble Beach, Yaquina Head Outstanding Natural Area","44.674","dd.dddd","Ð124.076","dd.dddd",2009,"2009-OCT-13","Pinniped"
