National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2015-1179471,PSU15-08-02B-Pp,15NWR08088,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Gearhart,Clatsop,OR,Pacific,1 mile south of 10th Street access,46.01538,dd.dddd,actual,–123.92997,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2015-AUG-02,2015,AUG,2,Beach or Land,,Advanced Decomposition,N,2015-AUG-02,2015,AUG,2,Advanced Decomposition,N,UNKNOWN,UNKNOWN,Y,N,0,cm,,0,kg,,NA,,,,,,,,,
NW-2016-1184821,CRC-1517,16NWR03005,Confirmed- High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,300 yd N of Shilo Inn,47.008,dd.dddd,estimate,–124,dd.dddd,estimate,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2016-MAR-16,2016,MAR,16,Beach or Land,,Fresh Dead,N,2016-MAR-16,2016,MAR,16,Fresh Dead,N,MALE,ADULT,Y,N,212,cm,actual,300,lb,estimate,Y,complete,fresh,2016-MAR-17,2016,MAR,17,CRC/WDFW,"found dead on beach, laying R side down on beach and in truck.",
NW-2011-1141678,11-CM-017,11NWR07108,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,K. Wilkinson,NOAA Fisheries,NOAA Fisheries,NW,Port Angeles,Clallam,WA,Pacific Ocean,"Freshwater Bay County Park, Straight on Juan de Fuca",48.146967,decimal degrees,estimate,–123.641717,decimal degrees,estimate,GPS,N,CBD,N,N,N,N,,N,N,N,N,2011-JUL-07,2011,JUL,7,Beach or Land,,Moderate Decomposition,Y,,,,,,N,UNKNOWN,ADULT,Y,N,60,in,estimate,125,lb,estimate,N,,,,,,,,"Reported by member of the public, sent Juan de Fuca MMSN to the site to collect the carcass and it was gone when they arrived a couple of hours later.",
NW-2010-1126537,CRC-1063,10NWR07119,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ocean Shores,Grays Harbor,WA,Pacific Ocean,,46.9755,dd.dddd,,–124.1724,dd.dddd,,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2010-JUL-09,2010,JUL,9,Beach or Land,,Fresh Dead,N,2010-JUL-09,2010,JUL,9,Fresh Dead,N,FEMALE,ADULT,Y,N,142,cm,Actual,120,lb,Estimated,Y,Complete,Fresh,2010-JUL-10,2010,JUL,10,CRC/WDFW,p/u off beach by Ed and held overnight for JLH to p/u in morning.,CRC-1063
NW-2006-1064217,CRC-781,06NWR12030,Confirmed- High Report,"Whale, gray",Eschrichtius,robustus,Validated,John Calambokidis,Cascadia Research,Cascadia Research,NW,,Kitsap,WA,Hood Canal,1.2 Miles South of Brown's Point,47.7393,decimal degrees,,–122.7728,decimal degrees,,GPS,N,CBD,N,N,N,N,,,,,,2006-DEC-31,2006,DEC,31,Floating,,Fresh Dead,N,2007-JAN-08,2007,JAN,8,Moderate Decomposition,N,FEMALE,ADULT,,,1240,cm,Actual,0,,,Y,,,2007-JAN-08,2007,JAN,8,CRC,"Found floating on 31 Dec 2006, reported beached at 47*41.0, 122*48.12 on 1 Jan 2007 at 0:20. Jessie Huggins and Annie Douglas respond on 1/2/07 at 0830 but whale no longer there. Reported beached again at 47*44.346 and 122*46.329 by Chris (360-509-5865).",CRC-781
NW-2003-1028453,03-IS-160,03NWR05033,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,WSU Island Co. Beachwatchers MMSN,NAS Whidbey,NAS Whidbey,NW,Whidbey Island,Island,WA,Puget Sound,West Beach,,,,,,,,,CBD,N,N,N,N,,,,,,2003-MAY-12,2003,MAY,12,Floating,,Condition Unknown,Y,,,,,,N,UNKNOWN,UNKNOWN,,,0,in,estimate,,,,N,,,,,,,,carcass not collected,
NW-2004-1002173,WIF021104MB,04NWR02002,Confirmed - High Report,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Puget Sound,near Clinton,,,,,,,,N,N,N,N,N,,,,,,,2004-FEB-11,2004,FEB,11,Beach or Land,,Fresh Dead,N,2004-FEB-11,2004,FEB,11,Fresh Dead,N,UNKNOWN,UNKNOWN,,,84,in,actual,,,,N,,,,,,,,,
NW-2015-1179420,HMSC15-11-12-Sc,15NWR11008,Confirmed - High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Waldport,Lincoln,OR,Pacific Ocean,"Bayshore, just north of the Bayshore Club",44.43786,dd.dddd,,–124.084585,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2015-NOV-12,2015,NOV,12,Beach or Land,,Fresh Dead,N,2015-NOV-12,2015,NOV,12,Fresh Dead,N,MALE,SUBADULT,Y,N,188,cm,actual,161,lb,actual,Y,complete,fresh,2015-NOV-12,2015,NOV,12,"Jim Rice, Joshua Carpenter, Jane Holbrook",,
NW-2009-1106091,HMSC09-12-02-Er,09NWR12019,Confirmed - Medium,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Tierra-Del-Mar,Tillamook,OR,Pacific Ocean,in front of 5955 Harris Ave,45.248548,dd.dddd,,–123.968537,dd.dddd,,Internet,N,CBD,N,N,N,N,,N,N,N,N,2009-DEC-02,2009,DEC,2,Beach or Land,,Advanced Decomposition,N,2009-DEC-03,2009,DEC,3,Advanced Decomposition,N,UNKNOWN,SUBADULT,N,Y,762,cm,estimate,0,lb,estimate,N,,,,,,,,decomposed juvenile whale came ashore during astronomic high tide period. Efforts to measure and collect samples were unsuccessful as the tide took the carcass out to sea as responders were on scene.,
NW-2016-1189300,2016-SJ026,16NWR07017,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer,Whale Museum,Whale Museum,NW,San Juan Island,San Juan,WA,Pacific Ocean,"477 Davison Head Drive, San Juan Island",48.6235,dd.dddd,actual,–123,dd.dddd,actual,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2016-JUL-01,2016,JUL,1,Beach or Land,,Moderate Decomposition,N,2016-JUL-02,2016,JUL,2,Moderate Decomposition,N,UNKNOWN,ADULT,N,Y,130,cm,estimate,,,,N,,,,,,,,"porpoise head, highly scavenged, with one vertebra attached",
NW-2005-1051661,WDFW1105-05,05NWR11009,Confirmed - High Report,"Whale, pygmy sperm",Kogia,breviceps,Validated,Dyanna Lambourn,WDFW/MMI,Washington Department of Fish and Wildlife,NW,Moclips,Grays Harbor,WA,Pacific Ocean,.7 mile South of the Moclips,,,,,,,,N,N,N,N,N,N,,,,,,2005-NOV-11,2005,NOV,11,Beach or Land,,Fresh Dead,N,2005-NOV-12,2005,NOV,12,Fresh Dead,N,FEMALE,ADULT,,,291,cm,actual,400,kg,estimate,Y,,,2005-NOV-12,2005,NOV,12,"DML, WDFW, CRC and NMFS","Whale was reported by State Parks picked up and transported TO WDFW/MMI. Necropsy was perform by Dyanna M. Lambourn, John Calambokidis, Jessie Huggins, Andrea Siatkowski, Brent Norberg, Lynne Barre, Stephanie Norman, Kelly Brock, Ed Mitchell and Jen Barron. External Exam: Adult lactating, pregnant female in good to fair body condition. Code 2 decomposition code. Body full of scratches due to decimation of the skin, due rolling in surf and some scavanging, other scratches maybe due interspecies interactions (see px). Right lateral side-numerous Cresent shapedlinear wound on right lateral possibly bites. An 8x10x4 deep defect on R- mid Lateral Cranial Tailstock appears to be scavanged thru to muscle. 2 areas healed lesions. Trailing edge of dorsal fin healed defects possibly due to truama. Eye intact. Abdomin flacid, when palpate fluid inside. Internal: Uterus took up most abdominal cavity, both horn and uteretus full of clear amnotic fluid. ~ 7Gallons. Fetus was in left horn",CRC698
NW-2007-1074693,PSU07-10-05-Pp,07NWR10100,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Sunset Beach,Clatsop,OR,Pacific Ocean,2 miles north of Sunset Beach access,46.06255,decimal degrees,,–123.93335,decimal degrees,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2007-OCT-05,2007,OCT,5,Beach or Land,,Advanced Decomposition,N,2007-OCT-05,2007,OCT,5,Advanced Decomposition,N,FEMALE,YEARLING,N,N,110.8,cm,actual,16.8,kg,actual,Y,limited,frozen,2007-NOV-03,2007,NOV,3,Duffield and Barros,,
NW-2005-1047165,CRC641,05NWR07033,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Tacoma,Pierce,WA,Puget Sound,Chambers Creek,,,,,,,,N,N,N,N,N,N,,,,,,2005-JUL-25,2005,JUL,25,Floating,,Fresh Dead,N,2005-JUL-26,2005,JUL,26,Moderate Decomposition,N,MALE,PUP/CALF,,,660,cm,actual,,,,Y,,,2005-JUL-26,2005,JUL,26,"Cascadia, Raverty, Norman",fracture of C1 vertebra on R side(most likely post mortem); blubber very oily; high lipid content,
NW-2003-1001879,03-DO-174,03NWR07050,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,J. Hodder,Oregon Institute of Marine Biology,Oregon Institute of Marine Biology,NW,Winchester Bay,Douglas,OR,Pacific Ocean,Umpqua Lighthouse,,,N,,,N,,,CBD,N,N,N,N,,,,,,2003-JUL-13,2003,JUL,13,Beach or Land,,Condition Unknown,N,2003-JUL-13,2003,JUL,13,Condition Unknown,N,UNKNOWN,UNKNOWN,,,0,in,estimate,,,,N,,,,,,,,,
NW-2014-1155558,PSU14-02-01-Pp,14NWR02001,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Ilwaco,Pacific,WA,Pacific,Benson Beach,46.29599,dd.dddd,actual,–124.07513,dd.dddd,,GPS,N,CBD,N,N,N,N,,Y,N,N,Y,2014-FEB-01,2014,FEB,1,Beach or Land,,Moderate Decomposition,N,2104-FEB-01,2104,FEB,1,Moderate Decomposition,N,FEMALE,ADULT,Y,N,170.6,cm,actual,0,kg,,NA,,,,,,,,,
NW-2015-1174504,2015-SJ022,15NWR07024,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer,Whale Museum,Whale Museum,NW,Orcas Island,San Juan,WA,Pacific Ocean,"Buckhorn Beach, Orcas Island",48.7087,dd.dddd,actual,–122.8701,dd.dddd,actual,GPS,N,N,N,N,N,N,,Y,Y,Y,,2015-JUL-22,2015,JUL,22,Beach or Land,,Fresh Dead,N,2015-JUL-22,2015,JUL,22,Fresh Dead,N,FEMALE,ADULT,Y,N,165,cm,actual,58,kg,actual,Y,complete,fresh,2015-JUL-23,2015,JUL,23,WM,,
NW-2001-1025124,NW-2789,,,"Porpoise, harbor",Phocoena,phocoena,Validated,NMML,,Unknown,NW,Port Townsend,Jefferson,WA,,old boat ramp @ North Beach County Park,,,,,,,,,N,N,N,N,N,,,,,,2001-MAY-02,2001,MAY,2,,,Fresh Dead,N,2001-MAY-02,2001,MAY,2,Advanced Decomposition,N,UNKNOWN,,,,48,cm,estimate,,in,actual,Y,,,,,,,Unknown,,2789
NW-2005-1045299,2005-SJ014,05NWR05035,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,Whale Museum,Whale Museum,NW,San Juan Island,San Juan,WA,Haro Strait,.25 mile off Bellevue Point,48/28/00,deg/min/sec,estimate,123/02/05,deg/min/sec,estimate,Internet,N,CBD,N,N,N,N,,,,,,2005-MAY-26,2005,MAY,26,Floating,,Moderate Decomposition,N,2005-MAY-28,2005,MAY,28,Moderate Decomposition,N,FEMALE,ADULT,,,154,cm,actual,,,,Y,,,2005-JUN-02,2005,JUN,2,Gaydos and Osborne,,
NW-2009-1098687,MKH-Pp-09-1,09NWR08026,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Vista,Clallam,WA,Pacific Ocean,Mouth of Hoko,48.568889,decimal degrees,actual,124.118611,decimal degrees,actual,GPS,N,CBD,N,N,N,N,,N,N,N,N,2009-AUG-05,2009,AUG,5,,,Fresh Dead,N,2009-AUG-05,2009,AUG,5,Fresh Dead,N,UNKNOWN,PUP/CALF,Y,N,90,cm,estimate,,,,N,,,,,,,,Collected for examination and necropsy at a later date,
NW-2016-1191250,CRC-1536,16NWR07088,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Roosevelt Beach,Grays Harbor,WA,Pacific Ocean,1/2 Mile S of approach,47.18,dd.dddd,estimate,–124,dd.dddd,estimate,Internet/Software,N,N,N,N,N,N,,Y,Y,Y,,2016-JUL-17,2016,JUL,17,Beach or Land,,Fresh Dead,N,2016-JUL-17,2016,JUL,17,Fresh Dead,N,MALE,PUP/CALF,Y,N,79,cm,actual,9,kg,actual,Y,complete,fresh,2016-JUL-18,2016,JUL,18,CRC,picked up by shellfish biologist and brought to montesano for pickup by CRC,
NW-2007-1064951,HMSC07-01-02-Gm,07NWR01010,Confirmed - Medium,"Whale, pilot, short-finned",Globicephala,macrorhynchus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Cape Blanco,Curry,OR,Pacific Ocean,just south of Blacklock Point,42.8685,decimal degrees,,124.5343,decimal degrees,,GPS,N,CBD,N,N,N,N,,,,,,2007-JAN-01,2007,JAN,1,Beach or Land,,Moderate Decomposition,N,2007-JAN-03,2007,JAN,3,Moderate Decomposition,N,FEMALE,ADULT,,,451,cm,estimate,0,lb,estimate,N,,,,,,,,"carcass in remote, difficult to access area; was photographed, measured, and sampled by volunteers",
NW-2014-1159858,PSU14-06-19-Pp,14NWR06060,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Long Beach,Pacific,WA,Pacific,1 mi north of access,46.36113,dd.dddd,actual,–124.06503,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,Y,2014-JUN-19,2014,JUN,19,Beach or Land,,Fresh Dead,N,2104-JUN-20,2104,JUN,20,Fresh Dead,N,UNKNOWN,ADULT,Y,N,0,cm,,0,kg,,NA,,,,,,,,,
NW-2006-1056439,HMSC06-01-31-Zc,06NWR01024,Confirmed - Medium,"Whale, Cuvier's beaked",Ziphius,cavirostris,Validated,Volunteer,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Gold Beach,Curry,OR,Pacific Ocean,"about 1/2 mile south of south jetty to Rogue River, near airport",42.4113,decimal degrees,,124.4278,decimal degrees,,Internet,N,CBD,N,N,N,N,,,,,,2006-JAN-31,2006,JAN,31,Beach or Land,,Moderate Decomposition,N,2006-JAN-31,2006,JAN,31,Moderate Decomposition,N,MALE,ADULT,,,560,cm,actual,1600,kg,estimate,Y,,,2006-FEB-11,2006,FEB,11,"Debbie Duffield, PSU","moderately decomposed Ziphius, initially assesed and sampled by High School teacher/biolgist. Skeletal remains collected by Debbie Duffield, PSU.",
NW-2014-1176979,JDF22JULY14A,14NWR07135,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,Feiro Marine Life Center,Feiro Marine Life Center,NW,Sequim,Clallam,WA,Pacific Ocean,S of Pt Williams boat ramp,48.096475,decimal degrees,estimate,–123.046386,decimal degrees,estimate,Internet,N,CBD,N,N,N,N,,N,N,N,N,2014-JUL-22,2014,JUL,22,,,Alive,Y,,,,,,Y,UNKNOWN,PUP/CALF,N,N,30,in,estimate,,,,N,,,,,,,,Called in on MMSN hotline. No visible signs of injury,
NW-2013-1151212,CRC-1251,13NWR04031,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Alie Perez,Cascadia Research,Cascadia Research,NW,Grayland,Grays Harbor,WA,Pacific Ocean,,,,actual,,,actual,GPS,N,CBD,N,N,N,N,,Y,Y,Y,,2013-APR-16,2013,APR,16,Beach or Land,,Fresh Dead,N,2013-APR-16,2013,APR,16,Fresh Dead,N,FEMALE,ADULT,Y,N,165,cm,actual,66,kg,actual,Y,complete,fresh,2013-APR-16,2013,APR,16,CRC/WDFW,Removed from beach by Cyndie (WDFW biologist) and brought to WDFW Montesano for Alie and Anna to pick up.,
NW-2011-1137449,JDF-072511-A,11NWR07084,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Rich Osborne,Juan De Fuca MMSN,Juan De Fuca MMSN,NW,Joyce,Clallam,WA,Strait of Juan de Fuca,East end of Whiskey Creek Beach,48.1549,dd.dddd,,–123.7671,dd.dddd,,GPS,N,N,N,N,N,N,,Y,Y,Y,,2011-JUL-25,2011,JUL,25,Beach or Land,,Fresh Dead,N,2011-JUL-25,2011,JUL,25,Fresh Dead,N,FEMALE,PUP/CALF,Y,N,82,cm,Actual,8,kh,Actual,Y,Complete,Fresh,2011-JUL-26,2011,JUL,26,MFM,"Reported dead on Whiskey Creek Beach 7/25/11, picked up by Rich Osborne, AA picked up for transfer to MFM for necropsy.",MKH2011-019
NW-2012-1151377,MKH2012-013,12NWR05129,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.3221,dd.dddd,estimate,–124.663,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2012-MAY-22,2012,MAY,22,Beach or Land,,Fresh Dead,N,2012-MAY-22,2012,MAY,22,Fresh Dead,N,MALE,ADULT,N,Y,151,cm,actual,,,,N,,,,,,,,"Dead harbor porpoise reported by Frankie Gonzales on Tsoo-Yess Beach between Mad Bear Rock and the river, being scavenged by eagles. AA and JS responded, took photos and length. 3 eagles were on carcass on arrival. Almost all tissues were scavenged clean from the bones except for some intestines, bladder, the stomach, and small portions of the spleen and lungs. Tissues appeared fresh - maybe 2.5 at most. Stomach felt empty except for ulcers. No tissues collected, carcass left at site.",
NW-2017-1197709,HMSC17-08-05-Pp,17NWR08024,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Bandon,Coos,OR,Pacific Ocean,North of 8th St access,43.1183,decimal degrees,,–124.43184,decimal degrees,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2017-AUG-05,2017,AUG,5,Beach or Land,,Fresh Dead,N,2017-AUG-05,2017,AUG,5,Fresh Dead,N,MALE,ADULT,Y,N,142,cm,actual,38,kg,estimate,Y,complete,fresh,2017-AUG-05,2017,AUG,5,Diane & David Bilderback,,
NW-2008-1083675,HMSC08-07-12-Pp,08NWR07082,,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Gardiner,Douglas,OR,Pacific Ocean,at Sparrow park access on the beach,43.7487,dd.dddd,,–124.1823,dd.dddd,,Internet,N,CBD,N,N,N,N,,N,N,N,N,2008-JUL-12,2008,JUL,12,Beach or Land,,Fresh Dead,Y,,,,,,N,UNKNOWN,PUP/CALF,Y,N,75,cm,estimate,0,lb,estimate,NA,,,,,,,,"found, collected and frozen by Forest Service biologist",
NW-2013-1154548,WDFW2013-108,13NWR10032,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Purdy,Pierce,WA,Puget Sound,South side purdy spit mid by only Madrona,47.3817,dd.dddd,actual,–122.634,dd.dddd,actual,Internet/Software,N,CBD,N,N,N,N,,Y,Y,Y,,2013-OCT-29,2013,OCT,29,Beach or Land,,Moderate Decomposition,N,2013-OCT-30,2013,OCT,30,Moderate Decomposition,N,FEMALE,SUBADULT,N,Y,122,cm,actual,35,kg,estimate,Y,limited,fresh,2013-OCT-30,2013,OCT,30,WDFW/MMI,Found dead on beach by RP seen the day before 10/28/13. Reported to CRC 10/29/13 and WDFW/ MMI DML responded 10/30/13. Carcass was examined and minimal sample taken.,WDFW2013-108
NW-2009-1105839,HMSC09-09-02-Uc,09NWR09156,Confirmed - Minimum,UNIDENTIFIED ODONTOCETE,,,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Cape Meares,Tillamook,OR,Pacific Ocean,Cape Meares beach,45.5002,dd.dddd,,–123.960761,dd.dddd,,Internet,N,CBD,N,N,N,N,,N,N,N,N,2009-SEP-02,2009,SEP,2,Beach or Land,,Condition Unknown,Y,,,,,,N,UNKNOWN,UNKNOWN,N,N,0,cm,estimate,0,lb,estimate,N,,,,,,,,reported as a dead dolphin or porpoise - no specific details; carcass could not be re-located,
NW-2015-1181395,MKH2015-03,15NWR05085,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Sequim,Clallam,WA,Strait of Juan de Fuca,,48.3146,decimal degrees,actual,–123.1897,decimal degrees,actual,GPS,N,CBD,N,N,N,N,,Y,Y,Y,N,2015-MAY-13,2015,MAY,13,Beach or Land,,Fresh Dead,N,2015-MAY-13,2015,MAY,13,Fresh Dead,N,UNKNOWN,UNKNOWN,Y,N,130,cm,actual,,,,Y,complete,frozen,2015-JUL-16,2015,JUL,16,Makah Fisheries Management,"Animal was collected and was frozen for later analysis. Porpoise was necropsied with Makah summer youth interns. Scavenging from left eye, over sapula and ribs. Under left flipper. Lots of blood in abdominal cavity and congested lungs. Trachea full of f",
NW-2012-1146484,HMSC12-12-10-Sc,12NWR12013,Confirmed - High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,South Beach,Lincoln,OR,Pacific Ocean,a couple hundred yards north of access at Lost Creek,44.546605,dd.dddd,,–124.073868,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2012-DEC-10,2012,DEC,10,Beach or Land,,Fresh Dead,N,2012-DEC-11,2012,DEC,11,Fresh Dead,N,MALE,SUBADULT,Y,N,222,cm,actual,270,lb,actual,Y,complete,fresh,2012-DEC-11,2012,DEC,11,OSU VDL,Complete pathology report attached to hard copy Level A,
NW-2012-1145917,PSU12-06-24B-Pp,12NWR06067,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,Seaside,Clatsop,OR,Pacific,12th Avenue,46.00155,dd.dddd,estimate,–123.92981,dd.dddd,,Internet,N,Y,N,N,Y,N,,Y,N,Y,N,2012-JUN-24,2012,JUN,24,Beach or Land,,Moderate Decomposition,N,2012-JUN-24,2012,JUN,24,Moderate Decomposition,N,UNKNOWN,SUBADULT,Y,N,130.6,cm,actual,0,kg,estimate,Y,limited,fresh,2012-JUN-28,2012,JUN,28,Duffield and D'Alessandro,,
NW-2014-1155881,HMSC14-03-12-Pm,14NWR03007,Confirmed - High Report,"Whale, sperm",Physeter,macrocephalus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,"northen end of Baker Beach, against base of cliff",44.105145,dd.dddd,,–124.122813,dd.dddd,,GPS,N,CBD,N,N,N,N,,N,N,N,N,2014-MAR-12,2014,MAR,12,Beach or Land,,Advanced Decomposition,N,2014-MAR-13,2014,MAR,13,Advanced Decomposition,N,UNKNOWN,SUBADULT,N,Y,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2015-1181058,CRC-1507,15NWR10039,Confirmed- High Report,"Dolphin, common, long-beaked",Delphinus,capensis,Validated,Erin Keene,Cascadia Research,Cascadia Research,NW,Moclips,Grays Harbor,WA,Pacific Ocean,"at beach access, in surf",47.236,dd.dddd,actual,–124.2183,dd.dddd,actual,GPS,N,N,N,N,N,N,,Y,Y,Y,,2015-OCT-30,2015,OCT,30,Beach or Land,,Fresh Dead,N,2015-OCT-30,2015,OCT,30,Fresh Dead,N,MALE,ADULT,Y,N,193.5,cm,actual,87,kg,actual,Y,complete,fresh,2015-OCT-31,2015,OCT,31,CRC/WDFW,found in surf by state parks. Recovered and held for CRC pickup,
NW-2004-1031849,04-CS-111,04NWR07034,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,North Bend,Coos,OR,Pacific Ocean,"North Spit, Horsefall Beach",,,,,,,,,CBD,N,N,N,N,,,,,,2004-JUL-14,2004,JUL,14,Beach or Land,,Moderate Decomposition,Y,,,,,,N,UNKNOWN,YEARLING,,,44,in,estimate,,,,N,,,,,,,,"sound on side of head; ""blow to brain""",
NW-2010-1139854,MKH-PP-10-1,10NWR03045,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,MFM,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck beach,48.3365,dd.dddd,,–124.6635,dd.dddd,,GPS,N,N,N,N,N,N,,Y,Y,Y,,2010-MAR-30,2010,MAR,30,Beach or Land,,Fresh Dead,N,2010-MAR-30,2010,MAR,30,Fresh Dead,N,FEMALE,ADULT,Y,N,155,cm,Actual,,,,Y,Complete,Fresh,2010-MAR-30,2010,MAR,30,MFM,Animal was heavily scavenged. Could not assess body condition. No gross signs of cause of death.,
NW-2013-1151214,CRC-1253,13NWR05036,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Sequim,Clallam,WA,Strait of Juan de Fuca,about 1/2 mile out on Dungeness Spit,48.154,dd.dddd,estimate,–123.1789,dd.dddd,estimate,Internet/Software,N,CBD,N,N,N,N,,Y,N,N,,2013-MAY-07,2013,MAY,7,Beach or Land,,Fresh Dead,Y,,,,,Fresh Dead,N,MALE,SUBADULT,Y,N,36,in,estimate,,,,N,,,,,,,,RP had to leave area and was not sure if animal was still there after high tide. No response due to travel distance and uncertainty of animal presence,
